"","title","price","sold_at","username","bought_and_sold","designer","sold_price"
"191","SS10 Cargo Pants",196,"2019-03-11T19:08:24.559Z","the_apostle_jawnz",307,"Undercover",166
"192","Supreme Luddens tee",65,"2019-03-11T17:39:24.651Z","wc97fann",20,"Supreme",50
"193","Common Project Achilles Low White 42",230,"2019-03-11T21:24:34.651Z","asvpxrocky",52,"Common Projects",200
"194","Size 9.5 Black / White Check",120,"2019-03-11T19:05:51.146Z","Maximon",211,"Engineered Garments",135
"195","Black Leather Hi Tops",175,"2019-03-11T17:47:35.133Z","wlaird9933",41,"Common Projects",183
"196","Supreme speaker Beoplay 2",180,"2019-03-11T17:48:27.726Z","Jself897",2,"Supreme",140
"197","Supreme Air Max 98",261,"2019-03-11T17:59:22.750Z","cbaguley",13,"Supreme",195
"198","Noah Staple Hoodie",180,"2019-03-11T17:00:20.505Z","wheresmytrunks",157,"Noah",110
"199","4 boxes!!! Of SUPREME Supreme BAND-AID BRAND",50,"2019-03-11T16:02:22.061Z","FLAMEVINTAGE",90,"Supreme",55
"200","4 boxes!!! Of SUPREME Supreme BAND-AID BRAND",50,"2019-03-11T16:24:38.014Z","FLAMEVINTAGE",91,"Supreme",60
"201","LV Lock with 20"" (50cm) gold-plated chain",89,"2019-03-11T17:27:56.940Z","bedvin",63,"Louis Vuitton",80
"202","3.5"" Flower Plush Pin",60,"2019-03-11T18:25:06.236Z","SupremeTrog",3,"Takashi Murakami",60
"203","Military Blue 4s",105,"2019-03-11T15:41:46.458Z","limp",32,"Jordan Brand",90
"204","Undercover fleece Blazer",108,"2019-03-11T22:22:07.184Z","DraeU",13,"Undercover",82
"205","Gucci Snake Flowerbed And Sky",315,"2019-03-11T21:17:00.503Z","nelsonauguste_1",6,"Gucci",351
"206","feather camo m65",261,"2019-03-11T22:39:58.781Z","svarisicario",30,"Kapital",225
"207","Tristan Trousers In Stone Size Medium",81,"2019-03-11T16:07:10.065Z","Dadbod123",61,"Wood Wood",70
"208","Supreme Van Gogh Field Hoodie Orange",160,"2019-03-11T16:21:14.298Z","itakefatchops",5,"Supreme",150
"209","Air Jordan Taxi 12",75,"2019-03-11T18:31:39.389Z","itakefatchops",6,"Jordan Brand",63
